diputadoID	nombre	distrito	genero
166	MARTIARENA, Mario Humberto	Jujuy	M
167	MARTIN, María Elena	Santa Fe	F
168	MARTINEZ GARBINO, Emilio	Entre Ríos	M
169	MARTINEZ ODDONE, Heriberto Agustín	Córdoba	M
170	MASSEI, Oscar Ermelindo	Neuquén	M
171	MERCHAN, Paula Cecilia	Córdoba	F
172	MERLO, Mario Raúl	San Luis	M
173	MOISES, María Carolina	Jujuy	F
174	MONTERO, Laura Gisela	Mendoza	F
175	MONTOYA, Jorge Luciano	Córdoba	M
176	MORAN, Juan Carlos	Buenos Aires	M
177	MORANDINI, Norma Elena	Córdoba	F
178	MORANTE, Antonio Arnaldo María	Chaco	M
179	MOREJON, Manuel Amor	Chubut	M
180	MORENO, Carlos Julio	Buenos Aires	M
181	MORGADO, Claudio Marcelo	Cdad.Aut.Bs.As.	M
182	MORINI, Pedro Juan	Santa Fe	M
183	MULLER, Mabel Hilda	Buenos Aires	F
184	NAIM, Lidia Lucía	Buenos Aires	F
185	NIEVA, Alejandro Mario	Jujuy	M
186	OBEID, Jorge Alberto	Santa Fe	M
187	OBIGLIO, Julián Martín	Cdad.Aut.Bs.As.	M
188	OLIVA, Cristian	Santiago del Estero	M
189	OSORIO, Marta Lucía	La Pampa	F
190	PAIS, Juan Mario	Chubut	M
191	PAREDES URQUIZA, Alberto Nicolás	La Rioja	M
192	PAROLI, Raúl Omar	Catamarca	M
193	PASINI, Ariel Osvaldo	Buenos Aires	M
194	PASTORIZA, Eduardo	Catamarca	M
195	PASTORIZA, Mirta Ameliana	Santiago del Estero	F
196	PERALTA, Fabián Francisco	Santa Fe	M
197	PEREYRA, Guillermo Antonio	Mendoza	M
198	PEREZ, Adrián	Buenos Aires	M
199	PEREZ, Jorge Raúl	Santiago del Estero	M
200	PERIE, Hugo Rubén	Corrientes	M
201	PERIE, Julia Argentina	Misiones	F
202	PETIT, María de los Angeles	Entre Ríos	F
203	PINEDO, Federico	Cdad.Aut.Bs.As.	M
204	PINTO, Sergio Damián	Mendoza	M
205	PIUMATO, Julio Juán	Cdad.Aut.Bs.As.	M
206	POGGI, Claudio Javier	San Luis	M
207	PORTELA, Agustín Alberto	Corrientes	M
208	PORTO, Héctor Norberto	Buenos Aires	M
209	PRIETO, Hugo Nelson	Neuquén	M
210	PUIGGROS, Adriana Victoria	Buenos Aires	F
211	QUINTERO, Marta Beatriz	La Rioja	F
212	QUIROZ, Elsa Siria	Buenos Aires	F
213	RAIMUNDI, Carlos Alberto	Buenos Aires	M
214	RECALDE, Héctor Pedro	Buenos Aires	M
215	REJAL, Jesús Fernando	La Rioja	M
216	REYES, María Fernanda	Cdad.Aut.Bs.As.	F
217	RICO, María del Carmen Cecilia	Buenos Aires	F
218	RIOBOO, Sandra Adriana	Buenos Aires	F
219	RIVAS, Jorge	Buenos Aires	M
220	RODRIGUEZ, Evaristo Arturo	Santa Cruz	M
221	RODRIGUEZ, Marcela Virginia	Buenos Aires	F
222	ROJKES de ALPEROVICH, Beatriz Liliana	Tucumán	F
223	ROLDAN, José María	Corrientes	M
224	ROMAN, Carmen	Formosa	F
225	ROSSI, Agustín Oscar	Santa Fe	M
226	ROSSI, Alejandro Luis	Santa Fe	M
227	ROSSI, Cipriana Lorena	Rio Negro	F
228	RUIZ, Ramón	Buenos Aires	M
229	SALIM, Juan Arturo	Tucumán	M
230	SALUM, Osvaldo Rubén	Salta	M
231	SANCHEZ, Fernando	Cdad.Aut.Bs.As.	M
232	SANTANDER, Mario	La Rioja	M
233	SAPAG, Silvia Estela	Neuquén	F
234	SARGHINI, Jorge Emilio	Buenos Aires	M
235	SATRAGNO, Lidia Elsa	Buenos Aires	F
236	SCALESI, Juan Carlos	Rio Negro	M
237	SCIUTTO, Rubén Darío	Tierra del Fuego	M
238	SEGARRA, Adela Rosa	Buenos Aires	F
239	SEREBRINSKY, Gustavo Eduardo	Buenos Aires	M
240	SESMA, Laura Judith	Córdoba	F
241	SLUGA, Juan Carlos	Buenos Aires	M
242	SNOPEK, Carlos Daniel	Jujuy	M
243	SOLA, Felipe	Buenos Aires	M
244	SOLANAS, Raúl Patricio	Entre Ríos	M
245	SOTO, Gladys Beatriz	Chaco	F
246	SPATOLA, Paola Rosana	Buenos Aires	F
247	STORNI, Silvia	Córdoba	F
248	SYLVESTRE BEGNIS, Juan Héctor	Santa Fe	M
249	THOMAS, Enrique Luis	Mendoza	M
250	TOMAZ, Adriana Elisa	Buenos Aires	F
251	TORFE, Mónica Liliana	Salta	F
252	TORRONTEGUI, María Angélica	San Luis	F
253	URLICH, Carlos	Chaco	M
254	VACA NARVAJA, Patricia	Córdoba	F
255	VARGAS AIGNASSE, Gerónimo	Tucumán	M
256	VARISCO, Sergio Fausto	Entre Ríos	M
257	VAZQUEZ de TABERNISE, Silvia Beatriz	Buenos Aires	F
258	VEGA, Juan Carlos	Córdoba	M
259	VELARDE, Marta Sylvia	Santiago del Estero	F
260	VIALE, Lisandro Alfredo	Entre Ríos	M
261	VILARIÑO, José Antonio	Salta	M
262	VILLAVERDE, Jorge Antonio	Buenos Aires	M
263	WEST, Mariano Federíco	Buenos Aires	M
264	ZANCADA, Pablo	Santa Fe	M
265	ZAVALLO, Gustavo	Entre Ríos	M
